Country Name,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD in billions),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Afghanistan,South Asia,Low income,1997,48.833,12.655,,,,,98.4,54.424,29.6497,3.603
Afghanistan,South Asia,Low income,1996,48.87,12.964,,,,,101.1,53.924,28.8782,3.621
Afghanistan,South Asia,Low income,1995,48.835,13.282,,,,,104.0,53.398,27.7405,3.653
Afghanistan,South Asia,Low income,1994,48.77,13.616,,,,,107.1,52.842,26.1553,3.612
Afghanistan,South Asia,Low income,1993,48.717,13.974,,,,,110.4,52.256,24.2266,3.463
Afghanistan,South Asia,Low income,1992,48.709,14.362,,,,,113.7,51.641,22.1878,3.173
Afghanistan,South Asia,Low income,1991,48.763,14.783,,,,,117.3,50.999,20.3704,2.976
Afghanistan,South Asia,Low income,1990,48.88,15.241,,,,0.0,121.1,50.331,19.0122,
Afghanistan,South Asia,Low income,1989,49.048,15.738,,,,,125.1,49.64,18.1798,
Afghanistan,South Asia,Low income,1988,49.236,16.268,,,,,129.2,48.93,17.7956,
Afghanistan,South Asia,Low income,1987,49.418,16.826,,,,,133.3,48.211,17.7749,
Afghanistan,South Asia,Low income,1986,49.586,17.406,,,,,137.5,47.486,17.9766,
Afghanistan,South Asia,Low income,1985,49.735,18.005,,,,,141.6,46.761,18.286,
Afghanistan,South Asia,Low income,1984,49.865,18.618,,,,,145.7,46.04,18.6936,
Afghanistan,South Asia,Low income,1983,49.984,19.24,,,,,149.8,45.324,19.2043,
Afghanistan,South Asia,Low income,1982,50.098,19.865,,,,,154.1,44.617,19.7325,
Afghanistan,South Asia,Low income,1981,50.21,20.49,,3.47879,264.111,,158.4,43.923,20.1753,
Afghanistan,South Asia,Low income,1980,50.321,21.109,,3.64172,272.655,,162.7,43.244,20.4585,
Albania,Europe & Central Asia,Upper middle income,2018,,,,15.0589,5253.63,,7.8,,104.612,13.898
Albania,Europe & Central Asia,Upper middle income,2017,11.934,7.714,,13.0251,4532.89,71.847,8.0,78.333,104.871,13.75
Albania,Europe & Central Asia,Upper middle income,2016,12.08,7.534,,11.8614,4124.11,66.3634,8.2,78.194,104.967,15.22
Albania,Europe & Central Asia,Upper middle income,2015,12.197,7.367,,11.3869,3952.83,63.2529,8.5,78.025,105.135,17.08
Albania,Europe & Central Asia,Upper middle income,2014,12.259,7.219,2309.37,13.2282,4578.67,60.1,8.9,77.813,105.442,17.49
Albania,Europe & Central Asia,Upper middle income,2013,12.257,7.096,2533.25,12.7763,4413.08,57.2,9.5,77.554,105.66,15.866
Albania,Europe & Central Asia,Upper middle income,2012,12.197,6.996,2118.33,12.3198,4247.61,54.656,10.2,77.252,105.854,13.376
Albania,Europe & Central Asia,Upper middle income,2011,12.1,6.915,2205.7,12.8909,4437.18,49.0,11.0,76.914,106.029,13.481
Albania,Europe & Central Asia,Upper middle income,2010,12.001,6.841,1943.34,11.927,4094.36,45.0,11.9,76.562,106.315,14.086
Albania,Europe & Central Asia,Upper middle income,2009,11.945,6.756,1835.68,12.0442,4114.13,41.2,12.9,76.221,106.844,13.674
Albania,Europe & Central Asia,Upper middle income,2008,11.973,6.65,1617.74,12.8814,4370.54,23.86,13.9,75.912,107.566,13.06
Albania,Europe & Central Asia,Upper middle income,2007,12.118,6.518,1213.12,10.6773,3595.04,15.0361,14.9,75.646,108.395,15.966
Albania,Europe & Central Asia,Upper middle income,2006,12.398,6.365,1218.36,8.89607,2972.74,9.60999,16.0,75.423,109.217,16.394
Albania,Europe & Central Asia,Upper middle income,2005,12.821,6.206,1722.07,8.05208,2673.79,6.04389,17.1,75.228,109.908,16.874
Albania,Europe & Central Asia,Upper middle income,2004,13.381,6.061,1797.53,7.18468,2373.58,2.42039,18.3,75.039,110.472,17.272
Albania,Europe & Central Asia,Upper middle income,2003,14.048,5.952,1469.26,5.61149,1846.12,0.9719,19.4,74.828,110.935,17.496
Albania,Europe & Central Asia,Upper middle income,2002,14.79,5.891,1578.17,4.34807,1425.12,0.390081,20.6,74.579,111.351,17.51
Albania,Europe & Central Asia,Upper middle income,2001,15.59,5.879,1351.23,3.9221,1281.66,0.325798,21.8,74.288,111.685,17.411
Albania,Europe & Central Asia,Upper middle income,2000,16.436,5.914,1449.65,3.48036,1126.68,0.114097,23.0,73.955,112.738,17.767
Albania,Europe & Central Asia,Upper middle income,1999,17.321,5.983,1414.7,3.21212,1033.24,0.081437,24.2,73.587,113.459,18.569
Albania,Europe & Central Asia,Upper middle income,1998,18.238,6.067,734.85,2.54597,813.79,0.0650274,25.4,73.208,114.18,18.323
Albania,Europe & Central Asia,Upper middle income,1997,19.173,6.147,694.665,2.25852,717.381,0.0485939,26.7,72.838,114.901,18.311
Albania,Europe & Central Asia,Upper middle income,1996,20.106,6.213,904.347,3.19964,1009.98,0.0321968,27.9,72.495,115.622,18.358
Albania,Europe & Central Asia,Upper middle income,1995,21.02,6.25,663.784,2.39276,750.604,0.0111687,29.1,72.205,116.342,17.607
Albania,Europe & Central Asia,Upper middle income,1994,21.902,6.25,596.408,1.88095,586.416,,30.2,71.992,117.063,17.527
Albania,Europe & Central Asia,Upper middle income,1993,22.742,6.216,536.364,1.18532,367.279,,31.4,71.86,117.784,17.681
Albania,Europe & Central Asia,Upper middle income,1992,23.529,6.155,453.644,0.652175,200.852,,32.5,71.802,118.505,17.653
Albania,Europe & Central Asia,Upper middle income,1991,24.245,6.073,418.454,1.09956,336.587,,33.8,71.803,119.226,16.781
Albania,Europe & Central Asia,Upper middle income,1990,24.867,5.985,552.252,2.02855375,617.23,0.0,35.2,71.836,119.947,
Albania,Europe & Central Asia,Upper middle income,1989,25.372,5.908,1021.39,2.25309,697.996,,36.9,71.86,117.808,
Albania,Europe & Central Asia,Upper middle income,1988,25.762,5.855,1005.94,2.051236249,652.774,,38.8,71.843,114.684,
Albania,Europe & Central Asia,Upper middle income,1987,26.047,5.836,1161.95,2.080796249,674.793,,41.0,71.76,112.54,
Albania,Europe & Central Asia,Upper middle income,1986,26.241,5.855,1420.61,2.09732625,693.873,,43.4,71.605,110.315,
Albania,Europe & Central Asia,Upper middle income,1985,26.367,5.907,796.354,1.89705,639.866,,46.2,71.388,108.203,
Albania,Europe & Central Asia,Upper middle income,1984,26.452,5.98,1018.1,1.85734,639.485,,49.4,71.134,106.001,
Albania,Europe & Central Asia,Upper middle income,1983,26.528,6.061,1070.69,,,,52.8,70.876,103.794,
Albania,Europe & Central Asia,Upper middle income,1982,26.627,6.14,1096.87,,,,56.6,70.635,101.616,
Albania,Europe & Central Asia,Upper middle income,1981,26.772,6.215,1123.97,,,,61.0,70.416,99.4911,
Albania,Europe & Central Asia,Upper middle income,1980,26.981,6.291,1142.97,,,,65.6,70.208,97.5181,
Algeria,Middle East & North Africa,Upper middle income,2018,,,,181.0,4278.85,59.5797,20.1,,17.7301,12.145
Algeria,Middle East & North Africa,Upper middle income,2017,24.846,4.717,,168.0,4048.29,47.6911,20.6,76.499,17.3777,11.996
Algeria,Middle East & North Africa,Upper middle income,2016,25.25,4.717,,160.0,3948.81,42.9455,21.0,76.298,17.026,10.202
Algeria,Middle East & North Africa,Upper middle income,2015,25.481,4.715,,166.0,4177.89,38.2,21.4,76.09,16.6803,11.206
Algeria,Middle East & North Africa,Upper middle income,2014,25.538,4.709,1362.87,214.0,5493.06,29.5,21.8,75.878,16.3425,10.207
Algeria,Middle East & North Africa,Upper middle income,2013,25.451,4.699,1278.92,210.0,5499.59,22.5,22.1,75.661,16.0136,9.82
Algeria,Middle East & North Africa,Upper middle income,2012,25.246,4.685,1237.97,209.0,5592.22,18.2,22.4,75.436,15.696,10.97
Algeria,Middle East & North Africa,Upper middle income,2011,24.934,4.67,1123.33,200.0,5455.84,14.9,22.9,75.199,15.3927,9.96
Algeria,Middle East & North Africa,Upper middle income,2010,24.504,4.656,1016.64,161.0,4480.79,12.5,23.5,74.938,15.1055,9.96
Algeria,Middle East & North Africa,Upper middle income,2009,23.932,4.643,866.307,137.0,3883.27,11.23,24.3,74.644,14.8353,10.16
Algeria,Middle East & North Africa,Upper middle income,2008,23.226,4.637,947.291,171.0,4923.63,10.18,25.3,74.311,14.582,11.33
Algeria,Middle East & North Africa,Upper middle income,2007,22.424,4.639,894.285,135.0,3950.51,9.45119,26.4,73.936,14.3454,13.79
Algeria,Middle East & North Africa,Upper middle income,2006,21.582,4.651,862.43,117.0,3478.71,7.37598,27.5,73.521,14.1245,12.27
Algeria,Middle East & North Africa,Upper middle income,2005,20.774,4.674,890.626,103.0,3113.09,5.84394,28.8,73.072,13.9183,15.27
Algeria,Middle East & North Africa,Upper middle income,2004,20.077,4.71,804.107,85.325,2609.95,4.63448,30.1,72.594,13.7262,17.65
Algeria,Middle East & North Africa,Upper middle income,2003,19.557,4.757,786.414,67.8638,2103.38,2.19536,31.3,72.101,13.5465,23.72
Algeria,Middle East & North Africa,Upper middle income,2002,19.27,4.814,730.809,56.7603,1781.83,1.59164,32.4,71.605,13.3747,25.9
Algeria,Middle East & North Africa,Upper middle income,2001,19.257,4.882,709.091,54.7447,1740.61,0.646114,33.3,71.116,13.2053,27.3
Algeria,Middle East & North Africa,Upper middle income,2000,19.554,4.961,683.295,54.7902,1765.02,0.491706,33.9,70.64,13.0334,29.77
Algeria,Middle East & North Africa,Upper middle income,1999,20.175,5.05,652.801,48.6406,1588.35,0.199524,34.4,70.183,12.8576,28.448
Algeria,Middle East & North Africa,Upper middle income,1998,21.073,5.148,618.493,48.1877,1596.0,0.0202386,34.9,69.745,12.6768,26.919
Algeria,Middle East & North Africa,Upper middle income,1997,22.187,5.257,575.699,48.1779,1619.81,0.0102685,35.5,69.323,12.4879,25.43
Algeria,Middle East & North Africa,Upper middle income,1996,23.475,5.375,570.518,46.9415,1603.94,0.00173853,36.2,68.919,12.2878,28.618
Algeria,Middle East & North Africa,Upper middle income,1995,24.884,5.499,559.918,41.7641,1452.27,0.00176895,37.1,68.54,12.0743,31.84
Algeria,Middle East & North Africa,Upper middle income,1994,26.361,5.624,550.972,42.5426,1507.87,0.000360674,38.1,68.194,11.8459,27.74
Algeria,Middle East & North Africa,Upper middle income,1993,27.863,5.752,547.991,49.9465,1807.33,,39.0,67.877,11.6031,26.23
Algeria,Middle East & North Africa,Upper middle income,1992,29.345,5.887,559.783,48.0033,1776.04,,39.9,67.575,11.3481,24.38
Algeria,Middle East & North Africa,Upper middle income,1991,30.774,6.035,532.49,45.7154,1731.61,,40.7,67.27,11.0845,20.6
Algeria,Middle East & North Africa,Upper middle income,1990,32.13,6.207,531.584,62.0451,2408.69,0.0,41.8,66.938,10.8151,
Algeria,Middle East & North Africa,Upper middle income,1989,33.415,6.411,522.142,55.6315,2215.85,,43.2,66.554,10.5411,
Algeria,Middle East & North Africa,Upper middle income,1988,34.653,6.657,481.887,59.0891,2417.38,,45.3,66.097,10.2629,
Algeria,Middle East & North Africa,Upper middle income,1987,35.86,6.956,455.408,66.7423,2807.33,,48.5,65.545,9.9819,
Algeria,Middle East & North Africa,Upper middle income,1986,37.034,7.317,485.274,63.6963,2757.13,,53.0,64.884,9.69979,
Algeria,Middle East & North Africa,Upper middle income,1985,38.175,7.76,466.487,57.9379,2582.88,,59.4,64.087,9.41812,
Algeria,Middle East & North Africa,Upper middle income,1984,39.284,8.302,441.288,53.6983,2467.35,,67.5,63.13,9.13768,
Algeria,Middle East & North Africa,Upper middle income,1983,40.354,8.94,417.498,48.8014,2312.66,,76.6,62.029,8.85986,
Algeria,Middle East & North Africa,Upper middle income,1982,41.377,9.661,406.055,45.2071,2210.3,,85.8,60.813,8.58738,
Algeria,Middle East & North Africa,Upper middle income,1981,42.34,10.445,363.443,44.3487,2237.09,,94.2,59.519,8.32345,
Algeria,Middle East & North Africa,Upper middle income,1980,43.226,11.261,330.304,42.3453,2203.0,,101.5,58.198,8.07043,
American Samoa,East Asia & Pacific,Upper middle income,2018,,,,,,,,,277.325,
American Samoa,East Asia & Pacific,Upper middle income,2017,,,,0.634,11398.8,,,,278.1,
American Samoa,East Asia & Pacific,Upper middle income,2016,,,,0.653,11714.9,,,,278.705,
American Samoa,East Asia & Pacific,Upper middle income,2015,,,,0.661,11843.3,,,,279.06,
American Samoa,East Asia & Pacific,Upper middle income,2014,17.5,4.2,,0.643,11525.2,,,,278.955,
American Samoa,East Asia & Pacific,Upper middle income,2013,,,,0.641,11505.4,,,,278.565,
American Samoa,East Asia & Pacific,Upper middle income,2012,,,,0.644,11568.8,,,,278.335,
American Samoa,East Asia & Pacific,Upper middle income,2011,,,,0.574,10294.3,,,,278.795,
American Samoa,East Asia & Pacific,Upper middle income,2010,18.7,,,0.576,10271.2,,,,280.395,
American Samoa,East Asia & Pacific,Upper middle income,2009,,,,0.678,11961.3,,,,283.415,
American Samoa,East Asia & Pacific,Upper middle income,2008,,,,0.563,9792.67,,,,287.46,
American Samoa,East Asia & Pacific,Upper middle income,2007,,,,0.52,8909.45,,,,291.825,
American Samoa,East Asia & Pacific,Upper middle income,2006,21.6,4.0,,0.496,8391.56,,,,295.535,
American Samoa,East Asia & Pacific,Upper middle income,2005,,,,0.503,8444.98,,,,297.81,
American Samoa,East Asia & Pacific,Upper middle income,2004,,,,0.512,8578.94,,,,298.405,
American Samoa,East Asia & Pacific,Upper middle income,2003,,,,0.527,8856.55,,,,297.52,
American Samoa,East Asia & Pacific,Upper middle income,2002,,,,0.514,8700.07,,,,295.4,
American Samoa,East Asia & Pacific,Upper middle income,2001,,,,,,,,,292.47,
American Samoa,East Asia & Pacific,Upper middle income,2000,,,,,,,,,289.105,
American Samoa,East Asia & Pacific,Upper middle income,1999,,,,,,,,,285.265,
American Samoa,East Asia & Pacific,Upper middle income,1998,,,,,,,,,280.855,
American Samoa,East Asia & Pacific,Upper middle income,1997,,,,,,,,,276.105,
American Samoa,East Asia & Pacific,Upper middle income,1996,,,,,,,,,271.055,
American Samoa,East Asia & Pacific,Upper middle income,1995,,,,,,,,,265.805,
American Samoa,East Asia & Pacific,Upper middle income,1994,,,,,,,,,260.475,
American Samoa,East Asia & Pacific,Upper middle income,1993,,,,,,,,,255.1,
American Samoa,East Asia & Pacific,Upper middle income,1992,,,,,,,,,249.48,
American Samoa,East Asia & Pacific,Upper middle income,1991,,,,,,,,,243.425,
American Samoa,East Asia & Pacific,Upper middle income,1990,,,,,,0.0,,,236.735,
American Samoa,East Asia & Pacific,Upper middle income,1989,,,,,,,,,229.47,
American Samoa,East Asia & Pacific,Upper middle income,1988,,,,,,,,,221.715,
American Samoa,East Asia & Pacific,Upper middle income,1987,,,,,,,,,213.7,
American Samoa,East Asia & Pacific,Upper middle income,1986,,,,,,,,,205.595,
American Samoa,East Asia & Pacific,Upper middle income,1985,,,,,,,,,197.595,
American Samoa,East Asia & Pacific,Upper middle income,1984,,,,,,,,,189.73,
American Samoa,East Asia & Pacific,Upper middle income,1983,,,,,,,,,182.06,
American Samoa,East Asia & Pacific,Upper middle income,1982,,,,,,,,,174.84,
American Samoa,East Asia & Pacific,Upper middle income,1981,,,,,,,,,168.505,
American Samoa,East Asia & Pacific,Upper middle income,1980,,,,,,,,,163.23,
Andorra,Europe & Central Asia,High income: nonOECD,2018,,,,3.23654,42029.8,,2.7,,163.843,
Andorra,Europe & Central Asia,High income: nonOECD,2017,,,,3.01339,39134.4,91.5675,2.8,,163.832,
Andorra,Europe & Central Asia,High income: nonOECD,2016,8.8,4.3,,2.87731,37224.1,97.9306,3.0,,164.462,
Andorra,Europe & Central Asia,High income: nonOECD,2015,,,,2.81149,36039.7,96.91,3.1,,165.981,
Andorra,Europe & Central Asia,High income: nonOECD,2014,,,,3.35074,42300.3,95.9,3.2,,168.538,
Andorra,Europe & Central Asia,High income: nonOECD,2013,,,,3.28159,40626.8,94.0,3.4,,171.86,
Andorra,Europe & Central Asia,High income: nonOECD,2012,9.5,3.9,,3.16462,38392.9,86.4344,3.6,,175.377,
Andorra,Europe & Central Asia,High income: nonOECD,2011,,,,3.44206,41100.7,81.0,3.7,,178.185,
Andorra,Europe & Central Asia,High income: nonOECD,2010,9.8,2.8,,3.3557,39736.4,81.0,3.9,,179.679,
Andorra,Europe & Central Asia,High income: nonOECD,2009,9.9,3.2,,3.66053,43338.9,78.53,4.1,,179.709,
Andorra,Europe & Central Asia,High income: nonOECD,2008,10.4,2.8,,4.00735,47785.1,70.04,4.3,,178.43,
Andorra,Europe & Central Asia,High income: nonOECD,2007,10.1,2.8,,4.01697,48582.2,70.87,4.5,,175.923,
Andorra,Europe & Central Asia,High income: nonOECD,2006,10.6,3.3,,3.54326,43747.7,48.9368,4.7,,172.326,
Andorra,Europe & Central Asia,High income: nonOECD,2005,10.7,3.6,,3.25579,41282.0,37.6058,4.9,,167.802,
Andorra,Europe & Central Asia,High income: nonOECD,2004,10.9,3.8,,2.93566,38503.5,26.838,5.1,,162.221,
Andorra,Europe & Central Asia,High income: nonOECD,2003,10.3,,,2.39865,32776.4,13.5464,5.3,,155.706,
Andorra,Europe & Central Asia,High income: nonOECD,2002,11.2,,,1.73312,24741.5,11.2605,5.5,,149.04,
Andorra,Europe & Central Asia,High income: nonOECD,2001,11.8,,,1.49691,22228.8,,5.7,,143.279,
Andorra,Europe & Central Asia,High income: nonOECD,2000,11.3,,,1.43443,21936.5,10.5388,5.9,,139.128,
Andorra,Europe & Central Asia,High income: nonOECD,1999,12.6,,,1.23988,19261.7,7.63569,6.2,,136.957,
Andorra,Europe & Central Asia,High income: nonOECD,1998,11.9,,,1.21193,18894.5,6.88621,6.4,,136.472,
Andorra,Europe & Central Asia,High income: nonOECD,1997,11.2,,,1.1806,18353.1,3.05018,6.7,,136.866,
Andorra,Europe & Central Asia,High income: nonOECD,1996,10.9,,,1.22395,19017.2,1.5266,7.0,,136.936,
Andorra,Europe & Central Asia,High income: nonOECD,1995,11.0,,,1.17874,18461.1,,7.3,,135.851,
Andorra,Europe & Central Asia,High income: nonOECD,1994,10.9,,,1.01755,16234.8,,7.7,,133.355,
Andorra,Europe & Central Asia,High income: nonOECD,1993,11.4,,,1.00703,16516.5,,8.1,,129.726,
Andorra,Europe & Central Asia,High income: nonOECD,1992,12.1,,,1.21001,20547.7,,8.5,,125.294,
Andorra,Europe & Central Asia,High income: nonOECD,1991,11.9,,,1.10693,19532.5,,8.9,,120.577,
Andorra,Europe & Central Asia,High income: nonOECD,1990,11.9,,,1.02905,18878.5,0.0,9.4,,115.977,
Andorra,Europe & Central Asia,High income: nonOECD,1989,12.5,,,0.795449,15166.4,,9.9,,111.591,
Andorra,Europe & Central Asia,High income: nonOECD,1988,11.6,,,0.721426,14304.4,,10.4,,107.306,
Andorra,Europe & Central Asia,High income: nonOECD,1987,11.0,,,0.611316,12616.2,,11.0,,103.096,
Andorra,Europe & Central Asia,High income: nonOECD,1986,11.9,,,0.482001,10361.8,,11.6,,98.9723,
Andorra,Europe & Central Asia,High income: nonOECD,1985,,,,0.346738,7774.39,,12.2,,94.8936,
Andorra,Europe & Central Asia,High income: nonOECD,1984,,,,0.330071,7728.91,,,,90.8638,
Andorra,Europe & Central Asia,High income: nonOECD,1983,,,,0.327862,8022.65,,,,86.9511,
Andorra,Europe & Central Asia,High income: nonOECD,1982,,,,0.375896,9610.27,,,,83.2213,
Andorra,Europe & Central Asia,High income: nonOECD,1981,,,,0.388959,10372.2,,,,79.7872,
Andorra,Europe & Central Asia,High income: nonOECD,1980,,,,0.446416,12377.4,,,,76.7383,
Angola,Sub-Saharan Africa,Upper middle income,2018,,,,106.0,3432.39,,51.6,,24.7131,7.253
Angola,Sub-Saharan Africa,Upper middle income,2017,41.281,8.432,,122.0,4095.81,14.3391,53.4,60.379,23.9165,7.139
Angola,Sub-Saharan Africa,Upper middle income,2016,41.882,8.716,,101.0,3506.07,13.0,55.5,59.925,23.1351,7.281
Angola,Sub-Saharan Africa,Upper middle income,2015,42.52,9.052,,116.0,4166.98,12.4,57.8,59.398,22.3666,7.279
Angola,Sub-Saharan Africa,Upper middle income,2014,43.182,9.454,312.229,146.0,5408.41,21.4,60.5,58.776,21.6105,7.429
Angola,Sub-Saharan Africa,Upper middle income,2013,43.847,9.921,280.215,137.0,5254.88,8.9,63.6,58.054,20.8677,7.454
Angola,Sub-Saharan Africa,Upper middle income,2012,44.493,10.451,219.253,128.0,5100.1,6.5,67.3,57.236,20.1395,7.359
Angola,Sub-Saharan Africa,Upper middle income,2011,45.102,11.039,207.013,112.0,4615.47,3.1,71.5,56.33,19.4278,7.362
Angola,Sub-Saharan Africa,Upper middle income,2010,45.656,11.68,206.454,83.7995,3587.88,2.8,76.0,55.35,18.7345,9.089
Angola,Sub-Saharan Africa,Upper middle income,2009,46.143,12.367,189.258,70.3072,3122.78,2.3,80.7,54.311,18.0591,10.609
Angola,Sub-Saharan Africa,Upper middle income,2008,46.563,13.085,172.385,88.5386,4080.94,1.9,85.8,53.243,17.4024,12.044
Angola,Sub-Saharan Africa,Upper middle income,2007,46.92,13.815,133.267,65.2665,3122.0,1.7,91.0,52.177,16.7686,14.633
Angola,Sub-Saharan Africa,Upper middle income,2006,47.215,14.539,144.715,52.381,2599.57,1.5,96.2,51.143,16.1626,17.674
Angola,Sub-Saharan Africa,Upper middle income,2005,47.453,15.24,109.295,36.9709,1902.42,1.14337,101.3,50.165,15.588,20.532
Angola,Sub-Saharan Africa,Upper middle income,2004,47.639,15.903,87.5353,23.5521,1255.56,0.464815,106.2,49.263,15.0462,23.643
Angola,Sub-Saharan Africa,Upper middle income,2003,47.786,16.522,95.8531,17.8127,982.961,0.370682,110.8,48.44,14.5356,23.925
Angola,Sub-Saharan Africa,Upper middle income,2002,47.911,17.09,86.0188,15.2856,872.494,0.270377,115.1,47.702,14.0526,23.896
Angola,Sub-Saharan Africa,Upper middle income,2001,48.027,17.597,82.6166,8.93606,527.334,0.136014,118.9,47.059,13.5925,23.115
Angola,Sub-Saharan Africa,Upper middle income,2000,48.15,18.036,75.2647,9.12959,556.836,0.105046,122.2,46.522,13.1511,22.885
Angola,Sub-Saharan Africa,Upper middle income,1999,48.293,18.404,71.9108,6.15292,387.784,0.0719641,125.1,46.093,12.7271,20.897
Angola,Sub-Saharan Africa,Upper middle income,1998,48.46,18.706,73.3092,6.50623,423.594,0.0184537,127.5,45.763,12.3202,20.438
Angola,Sub-Saharan Africa,Upper middle income,1997,48.652,18.952,69.3269,7.64838,514.295,0.00567375,129.5,45.519,11.9287,21.465
Angola,Sub-Saharan Africa,Upper middle income,1996,48.87,19.146,51.1086,7.52645,522.644,0.000775929,130.8,45.35,11.5511,20.066
Angola,Sub-Saharan Africa,Upper middle income,1995,49.113,19.292,49.2642,5.53875,397.179,,131.7,45.246,11.1857,21.148
Angola,Sub-Saharan Africa,Upper middle income,1994,49.378,19.396,50.6526,4.43832,328.673,,132.1,45.201,10.8316,21.159
Angola,Sub-Saharan Africa,Upper middle income,1993,49.652,19.464,52.0075,5.76872,441.201,,132.2,45.201,10.4877,21.25
Angola,Sub-Saharan Africa,Upper middle income,1992,49.919,19.506,53.4866,8.30781,656.362,,132.1,45.23,10.1527,20.925
Angola,Sub-Saharan Africa,Upper middle income,1991,50.168,19.533,54.4539,10.6038,865.693,,132.1,45.271,9.82506,22.602
Angola,Sub-Saharan Africa,Upper middle income,1990,50.383,19.555,53.1718,11.2288,947.704,0.0,132.0,45.306,9.5038,
Angola,Sub-Saharan Africa,Upper middle income,1989,50.547,19.579,53.6021,10.2011,890.554,,131.9,45.324,9.18808,
Angola,Sub-Saharan Africa,Upper middle income,1988,50.657,19.61,55.2039,8.76925,792.303,,132.0,45.317,8.87788,
Angola,Sub-Saharan Africa,Upper middle income,1987,50.711,19.651,56.786,8.08387,756.262,,132.4,45.283,8.57404,
Angola,Sub-Saharan Africa,Upper middle income,1986,50.712,19.71,58.5265,7.07206,685.27,,132.9,45.213,8.27794,
Angola,Sub-Saharan Africa,Upper middle income,1985,50.663,19.789,60.6304,7.55356,758.238,,133.6,45.107,7.99069,
Angola,Sub-Saharan Africa,Upper middle income,1984,50.569,19.889,52.2114,6.13148,637.715,,134.7,44.966,7.71216,
Angola,Sub-Saharan Africa,Upper middle income,1983,50.449,20.009,63.2673,5.78434,623.441,,135.9,44.799,7.44212,
Angola,Sub-Saharan Africa,Upper middle income,1982,50.322,20.145,60.3153,5.55048,619.961,,137.3,44.611,7.18132,
Angola,Sub-Saharan Africa,Upper middle income,1981,50.207,20.298,58.5618,5.55048,642.384,,139.2,44.404,6.93065,
Angola,Sub-Saharan Africa,Upper middle income,1980,50.134,20.467,60.6621,5.9305,710.982,,140.7,44.178,6.69069,
Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,2018,,,,1.6238,16864.4,,5.0,,218.832,
Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,2017,15.53,6.316,,1.51008,15824.7,76.0,5.2,76.752,216.877,
